asset_id,token_name,as_of_date,price_in_usd
0,ALGO,2021-11-19,1.826594019685735
0,ALGO,2021-11-20,1.88993028229941
0,ALGO,2021-11-21,1.8437725633143072
0,ALGO,2021-11-22,1.8508326714569336
0,ALGO,2021-11-23,1.7407600753427708
0,ALGO,2021-11-24,1.8376140458022183
0,ALGO,2021-11-25,1.74459956125573
0,ALGO,2021-11-26,1.8171741287067285
0,ALGO,2021-11-27,1.6015313456621405
0,ALGO,2021-11-28,1.6672109506926702
0,ALGO,2021-11-29,1.7037554792337868
0,ALGO,2021-11-30,1.782241776997625
0,ALGO,2021-12-01,1.8140513721837648
0,ALGO,2021-12-02,1.9622692633616945
0,ALGO,2021-12-03,1.8873180480096017
0,ALGO,2021-12-04,1.7551941714039472
0,ALGO,2021-12-05,1.648201603008616
0,ALGO,2021-12-06,1.7468621469054944
0,ALGO,2021-12-07,1.7913241969870008
0,ALGO,2021-12-08,1.6895721405522697
0,ALGO,2021-12-09,1.6863736481839608
0,ALGO,2021-12-10,1.554382649162362
0,ALGO,2021-12-11,1.4619359615825194
0,ALGO,2021-12-12,1.5236440249440373
0,ALGO,2021-12-13,1.5399852341737232
0,ALGO,2021-12-14,1.3462772081939156
0,ALGO,2021-12-15,1.3807114666495806
0,ALGO,2021-12-16,1.4255586177354802
0,ALGO,2021-12-17,1.3880495166297402
0,ALGO,2021-12-18,1.3514200749482976
0,ALGO,2021-12-19,1.3772890335382133
0,ALGO,2021-12-20,1.3572514768436192
0,ALGO,2021-12-21,1.302222829184164
0,ALGO,2021-12-22,1.355455082908065
0,ALGO,2021-12-23,1.3661328797979198
0,ALGO,2021-12-24,1.468432337007047
0,ALGO,2021-12-25,1.577958744669195
0,ALGO,2021-12-26,1.5831112830645258
0,ALGO,2021-12-27,1.6070237419099422
0,ALGO,2021-12-28,1.6707640160759083
0,ALGO,2021-12-29,1.4773949292865975
0,ALGO,2021-12-30,1.5886584295590185
0,ALGO,2021-12-31,1.7327660358993575
0,ALGO,2022-01-01,1.6632384815198198
0,ALGO,2022-01-02,1.745766988013822
0,ALGO,2022-01-03,1.6740635835778406
